dataset_id,RMSE,MAE,Max Abs Error,R^2
18840905,1.9608994595833324,1.3355465382781166,7.55166506606397,0.08502736210550788
18870704,3.17845888933793,2.259022085645518,19.573851722035933,-0.4620733264118515
18931102,3.042745919808139,1.4431314370438273,16.895595536994094,0.551753799294739
18960629,3.154360063738862,2.332571076570146,17.886671448251874,-1.30674519634948
18990407,6.624101342330893,4.983832458940249,17.62693987456977,-0.7622165813156476
19030303,4.412405412628047,3.23531723423554,17.70865869805185,-0.08690318205202696
19030524,4.299132456976323,3.2725594196180956,14.902642296768775,-1.3451235293178572
19041114,6.5146647873237145,5.215949219655888,22.270920346871588,-1.3853867633600445
19080304,6.384992608528065,4.384791050196556,40.07837523862504,-0.5244948658844313
19100728,3.891746632144706,2.4150672415415646,20.603643964403776,-2.4917227356570826
19111201,5.494210209951604,3.8090520283114078,29.023038617732006,-3.0566471014159218
19121101,4.330832111436859,2.590723507713669,22.945134265213458,0.3985951828407638
19141003,3.258487815325408,2.1712521043971824,17.702934652895745,-0.1677821467093632
19151205,9.970894143589106,7.433717411911112,36.754537959346735,0.08532666014279
19180123,5.693711924810712,3.7358251870954398,26.060556993793043,0.5621500886499213
19180528,4.984567939627529,3.565020651011649,21.994189058930854,-0.12720576441649212
19210209,5.647116360549457,4.395422980938877,16.241027489843752,-0.3698414957586176
19220612,3.159277284901019,1.971486661198656,21.367422591339633,-0.6126527231648762
19230301,6.29613940031011,4.311832226379915,24.92679818195941,0.43565014953970826
19240731,3.1524279366247754,2.194251646929529,11.385560709677026,-1.5758168136508686
19241012,3.628188307654356,2.39986696666718,17.784865516926047,0.30733368077316536
19260826,5.869227996061058,4.309029437912746,19.576201674607226,-0.6628896295449778
19270210,9.013043338548236,7.164830704182933,31.301070088490977,-0.6869696253279713
19270527,4.848317721054967,3.4984874963741905,16.466015401023228,-2.9406109725301413
19271105,6.525813280176255,4.589176133650636,21.44460796239283,-0.55124229682047
19280804,5.372572341625882,4.320641031148403,15.28960876425947,-2.0186655190957272
19300320,5.058198436738251,3.879495249110913,16.18933141182605,-0.5153100567719213
19300829,10.024469388056946,8.900936125072317,22.803788588333425,-8.203623523353606
19310217,10.203283207191406,7.307514634634844,56.67957328936231,-0.2221697447765676
19310430,5.896736933746233,4.695775010453185,23.41389121428049,-3.542158938936634
19321230,8.946414427179322,5.303753362594838,43.704990759798,-1.772733744377325e+29
19341031,6.399238747377039,4.924723165834415,26.028053077255784,-3.937984633955624
19361118,8.055355098958797,5.49668996351946,32.6505804852119,-0.49841936680049836
19370816,4.749388550972781,3.396487132340705,19.352576663658553,-5.80203125732252
19420528,4.057301758440746,3.1287126396489278,15.5158531512348,-0.04984842902833164
19420708,4.085662466211246,2.7606403277152314,22.572240876982672,-0.9742206439388341
19420730,4.367053669675899,3.1761682817790597,16.582857274855822,-0.719933784950531
19421130,10.36764092486496,7.832225935767353,47.63545519516136,-1.053861007531725
19430529,4.621380285977628,3.2022481779425847,25.561207526666905,-0.5113584703120926
19440815,5.045614267267884,3.832352662327481,18.60072007985854,-3.182246858424673
19460325,7.812681477264904,5.124242245244616,36.3822319313919,0.13339393563420188
19490718,4.108857072700416,2.9521920358734475,19.918179772152246,-2.077331793701153
19490928,5.530779083773216,4.041764485941129,23.009565178631256,-1.0370786827711536e+16
19491109,10.324691483567717,8.84386332610072,33.28332563783404,-11.179886500285242
19500802,5.176601485202683,3.9813365369385774,17.982797021381558,-15.715913428484964
19510412,11.25370779401824,10.449026761197857,28.935186784058505,-18.02478018542691
19530527,5.689536371512476,3.8930543006948737,25.6182904278415,-0.7267829783047246
19560321,6.915348565172118,5.069513547566975,40.92605845804129,-0.22178044177022627
19561216,7.714438135702098,4.7531014723498695,51.335432408913626,-0.1644027796031049
19580911,3.944196043506926,2.6538041321426227,19.709784085432794,-0.30696310597761833
19591125,9.510646314199452,7.035468290452569,44.33694516676889,-2.3169048550197937
19600217,8.213360189598934,5.893734106747841,38.77257743249865,-10.886792998719928
19611224,14.865897920139645,12.889978207129241,43.48501561455208,-3.714763943722005
19620921,3.8226700520570236,2.616986383771119,22.014115654762158,-1.9119954457570771
19630714,3.0138770538640007,2.0156021513527573,15.569730622140842,-0.33963334588151595
19640524,13.670990467937786,12.91158909429067,22.955515047089612,-27.187292066318076
19641206,7.974184938474315,5.92334618635095,39.299983317136096,-0.1820811903370425
19650128,6.193976946651125,3.877606301004522,32.41423978511656,0.43171493130257077
19650530,4.247765038532483,2.846751032431073,19.406171585690476,-1.7725081237153208
19650928,10.134126349623454,9.435648732592316,24.107061705080113,-16.019706930655744
19670602,3.717607331372467,2.3512508563117245,29.926017166549286,-1.0669011537754396
19720210,8.738644376389637,6.056242677455778,37.91003879604038,-0.15857396365301324
19721228,8.462260652282538,5.633189269629056,47.310365360177116,-7.998808414941887e+28
19760211,14.139309379554925,12.504939955331684,40.248672486107935,-8.371110254611741
19770423,5.0027000523777385,3.2910898144799035,30.6450297388783,-0.8841390126011881
19770603,4.504939612803966,3.3153800226281227,23.30395959137397,-0.1313835403624355
19781112,6.233778769806594,4.091970420527605,45.52632411875169,-1.412883455436555
19811215,7.631419586275465,5.679944265858639,32.82704043298246,-0.30945129773076196
19811225,8.540891682180618,5.520960507684192,48.36786684785418,-0.14678824874755425
19891212,8.196707003108815,5.5575074650595795,35.1752502619947,-0.18912225193784593
19900510,5.213945946310931,3.595618781740541,28.087398261426788,-0.12606661665397634
19910607,3.5005487195243385,2.3823392906678595,18.182594053131737,-0.3798178786344708
