dataset_id,nlags,anisotropy_scaling,coordinates_type,variogram_model,opt_loss
19440815,8,2.8336744970950467,euclidean,gaussian,3.1228812455243355
19460325,7,1e-05,geographic,spherical,4.9156837242470734
19490718,13,5.0,euclidean,power,2.8618192899797776
19490928,15,1e-05,euclidean,linear,3.835417200760872
19491109,7,0.07551955083607696,euclidean,power,4.120455540698078
19500802,17,1e-05,euclidean,gaussian,2.6017733188961
19510412,9,0.042813448699517184,euclidean,linear,2.6244696996070727
19530527,15,5.0,euclidean,power,3.264082776682251
19560321,9,5.0,euclidean,linear,3.129560348198372
19561216,8,5.0,euclidean,linear,6.0304963059490495
19580911,14,2.4819372477299493,geographic,power,2.168964850275768
19591125,17,3.190606701892769,euclidean,power,4.87492145515871
19600217,15,1e-05,euclidean,linear,6.155699707230173
19611224,6,0.1952835256165795,geographic,power,4.900087386814731
19620921,19,2.2199645456464125,euclidean,power,2.9380769045956114
19630714,7,0.07551955083607696,euclidean,power,2.111291388192406
19640524,9,0.042813448699517184,euclidean,linear,2.7886658262676045
19641206,19,2.389100712442673,euclidean,power,4.431807308757791
19650128,14,2.6638706621996,euclidean,linear,5.900565920996461
19650530,19,5.0,euclidean,power,3.0436950018929467
19650928,11,0.046347796831633904,euclidean,linear,2.182336467622039
19670602,6,0.1952835256165795,geographic,power,2.248117752718822
19720210,6,0.1952835256165795,geographic,power,3.9356614135841697
19721228,9,1e-05,euclidean,linear,5.337657048583353
19760211,12,0.03399613260610961,euclidean,gaussian,6.075178513529774
19770423,19,2.2202502698795534,euclidean,power,3.139212050243257
19770603,20,1.5861594536199537,euclidean,exponential,1.5689114052810358
19781112,6,0.1952835256165795,geographic,power,3.5381889799197674
19811215,7,2.558943449676217,geographic,gaussian,5.672342173577071
19811225,10,5.0,geographic,gaussian,5.620553958795049
19891212,17,1.3503256932014132,geographic,gaussian,5.6452456120038095
19900510,11,1e-05,geographic,power,2.518551571030759
19910607,20,0.09274969181126916,euclidean,exponential,2.3134073323361113
19930221,7,2.558920057524172,geographic,gaussian,4.683352512188108
19930726,12,0.0018174094491172584,euclidean,gaussian,2.911510667048392
19970204,11,1e-05,euclidean,linear,5.7530059941265534
19990506,15,5.0,euclidean,power,3.3430905458877027
20000710,19,1e-05,euclidean,gaussian,3.084102935803383
20010426,12,5.0,geographic,power,2.6195983359554256
20030201,11,0.046347796831633904,euclidean,linear,7.238162667916254
20060217,7,5.0,geographic,power,5.428585315413022
20060313,11,1e-05,geographic,power,3.7023563320080464
20060714,13,5.0,euclidean,linear,2.490950012466138
20081204,8,0.07130122214667499,euclidean,spherical,2.950178692351335
20090127,6,0.1952835256165795,geographic,power,4.194449513103048
20090311,8,5.0,euclidean,exponential,2.87823074803155
20100310,11,1e-05,geographic,power,2.9725713520891
20100729,8,5.0,euclidean,exponential,1.9872831745780826
20100826,19,2.2202667977496877,euclidean,power,3.00560149818215
20100916,19,2.3819975260145787,euclidean,power,2.8878225399883433
20110701,8,5.0,euclidean,exponential,2.671494228739974
20120104,9,5.0,euclidean,linear,3.825069530741355
20151108,14,0.6986157924444604,geographic,power,3.3566360235173227
20151227,7,5.0,geographic,power,5.380048143543101
20170425,14,5.0,euclidean,power,2.99268373478304
20201106,16,0.3242246739123458,geographic,power,2.105261895127599
20210609,11,0.046347796831633904,euclidean,linear,1.993174583861758
20220104,15,4.999999999999999,euclidean,power,3.5805614470340585
20230224,11,1e-05,geographic,power,3.5023046089580308
20240105,9,5.0,euclidean,gaussian,6.247188584468314
20250331,17,1e-05,euclidean,gaussian,3.3903930468484123
