,RMSE,MAE,Max Abs Error,R^2,dataset_id
0,1.639585397607169,0.5402352173783189,10.000846225077897,0.7013147797310564,18840905
1,1.9770882078464875,0.5131236428196863,14.19569962109621,0.8410709156196433,18870704
2,2.25109061064266,0.6216195833385747,17.85974536813,0.6443884765619069,18931102
3,1.330842107364057,0.4629982051098713,6.92661256581524,0.8562038368156271,18960629
4,2.0103352519575575,0.6662875438845389,12.92515907985685,0.8787995935864283,18990407
5,2.469504439845688,0.7472211157974101,16.17003381589045,0.791205250502655,19030303
6,2.6174412148291797,0.8229472038418558,15.893426977823317,0.6682496389847778,19030524
7,2.0547336403748533,0.6860915125663293,13.831997362310382,0.8413498895910425,19041114
8,2.8351636795951767,0.7787708459689214,26.77635708431432,0.8395852545170612,19080304
9,1.706234704623358,0.5223304878740094,11.687616652856377,0.8231579879534145,19100728
10,2.985455008483225,0.859342670207068,25.495617216576086,0.7302274031121947,19111201
11,2.445922135740526,0.7094811252387313,19.100000381469727,0.8601898867345343,19121101
12,1.3686045279471877,0.4956395211234879,8.402781690148268,0.9165610815717619,19141003
13,4.115674294661381,1.4057961647719606,29.81671416039361,0.8791734496285759,19151205
14,4.407741853203059,1.2948212565686479,29.09999942779541,0.7837174760477514,19180123
15,2.5916699257664657,0.8969448388670594,18.643180882891333,0.6161206209410773,19180528
16,2.7616619481410587,0.8894328088878942,17.89367146606063,0.782152246199798,19210209
17,1.467501169038718,0.5698852375923144,9.282594997762684,0.8496363751405653,19220612
18,2.5831743056151617,0.8856621805890748,23.799999237060547,0.9303282814872276,19230301
19,1.826544565156994,0.5958797197561078,11.68107072644655,0.7305378787549879,19240731
20,2.241024427784283,0.7671386487648345,14.300346360935809,0.7879372002130286,19241012
21,2.3816617818882904,0.9203163353008676,16.40000057220459,0.7117254250914625,19260826
22,3.3421229027404444,1.1309196302272921,27.770305007848588,0.7977397601215535,19270210
23,2.7593243438040416,1.0128771934378011,17.59999966621399,0.6952660955302039,19270527
24,2.8502354401645733,1.0781758887101967,18.6966405534722,0.8556779289813524,19271105
25,1.9196977853051174,0.7953482124967283,9.237323688930601,0.8223260796339105,19280804
26,2.6204941909477792,1.0337829125307048,17.0,0.7656301172931903,19300320
27,2.527783293767191,0.9179783593367391,15.059234223178159,0.745058752506575,19300829
