dataset_id,lr,weight_decay,num_epochs,scale,batch_size,mse_loss_weight,eikonal_loss_weight,laplace_loss_weight,patience,hidden_dim,opt_loss
18840905,0.0019471871790154229,0.0,500,2.4906789261622846,1024,1.0,0.0,0.0,10,128,0.4442465305328369
18870704,0.005793085575722642,0.0,422,10.0,1024,1.0,0.0,0.0,200,64,0.7154105305671692
18931102,0.005813374068609545,0.01,500,8.68621716958886,1024,1.0,0.0,0.0,49,128,0.6584171056747437
18960629,0.005640354033430936,0.0060186345749264035,500,5.219253308788287,782,1.0,0.00341895923085029,0.0,10,64,0.5059992074966431
18990407,0.009769035330632262,0.0,307,4.419235034142093,1024,1.0,0.01,0.0,106,128,0.8316788673400879
19030303,0.005463524642721686,0.0,500,9.999999999999998,354,1.0,0.01,0.0,11,16,1.1314886808395386
19030524,0.004832721539719359,0.01,500,10.0,1024,1.0,0.0,0.0,14,128,1.0396713018417358
19041114,0.005187055135858948,0.00912029417183574,137,9.999999999999998,775,0.25465478615553216,0.0022707737038119517,0.0,10,128,1.6104291677474976
19080304,0.01,0.009999999999999998,500,2.6708404637154706,1024,0.48197690301451673,0.0015043805019694686,0.0,10,128,1.4535503387451172
19100728,0.005045908664420303,0.009999999999999998,500,2.708503937928848,1024,1.0,0.01,0.0,10,256,0.8814703822135925
19111201,0.01,0.0,500,9.052426489883032,1024,0.9999999999999999,0.0028410148333914637,0.0,10,64,1.4402858018875122
19121101,0.01,0.01,500,9.999999999999998,1024,1.0,0.01,0.0,200,64,1.7666410207748413
19141003,0.004804841494127995,0.01,500,10.0,1024,0.6457425060906001,0.00873568612956414,0.0,129,64,1.2842785120010376
19151205,0.006459875163493842,0.0,328,0.7691050809130151,427,0.6564197721891878,0.01,0.001179188308780335,98,128,3.5129079818725586
19180123,0.009999999999999998,0.0,500,3.9513166926600722,940,0.7397301631456742,0.0037453209740247496,0.0,121,16,1.7056514024734497
19180528,0.01,0.0,289,2.201729533968447,1024,0.5044104322787049,0.0,0.0,113,128,0.7536289095878601
19210209,0.01,0.0,500,1.963577648349484,1024,1.0,0.0026994724467728813,0.0,200,128,1.3199167251586914
19220612,1e-05,0.009999999999999998,500,10.0,32,1.0,0.01,0.0,200,256,1.0845446586608887
19230301,1e-05,0.006174313710991445,500,2.6102767533178666,32,1.0,0.009999999999999998,0.0,200,256,1.5237551927566528
19240731,0.0029889616425510827,0.0,50,6.764452478980888,513,0.8024723621275607,0.005370237243846714,0.0,200,128,1.0012949705123901
19241012,0.002750937431617549,0.01,344,9.999999999999998,505,1.0,0.01,0.0,10,64,1.4617514610290527
19260826,0.0018666066976138263,0.0,500,7.086609022833876,1024,1.0,0.0,0.0,200,256,1.0056028366088867
19270210,0.002403542134700126,0.0,500,1.4914409688797883,32,1.0,0.0,0.0,10,16,1.8826985359191895
19270527,0.01,0.0,425,10.0,1024,1.0,0.01,0.0,159,128,1.5549434423446655
19271105,0.01,0.01,500,10.0,1024,1.0,0.0,0.0,155,16,2.0122008323669434
19280804,0.008312475550252022,0.0012400865700594574,500,10.0,1024,1.0,0.01,0.0,37,256,1.468937873840332
19300320,0.01,0.01,500,2.636931067274507,1024,1.0,0.01,0.0,10,256,1.4100370407104492
