dataset_id,RMSE,MAE,Max Abs Error,R^2
18840905,3.1395390033721924,2.5209829807281494,7.5411224365234375,-5902.31201171875
18870704,6.27232027053833,5.210984706878662,16.931472778320312,-13.688956260681152
18931102,4.733988285064697,3.028902769088745,33.21409225463867,-8770.6591796875
18960629,3.7387237548828125,2.5526416301727295,17.280033111572266,-2743.315673828125
18990407,5.513345718383789,4.217819690704346,17.107820510864258,-5.611667156219482
19030303,5.818111419677734,4.028069019317627,34.899085998535156,-40.83018112182617
19030524,4.838922023773193,3.5634326934814453,15.919900894165039,-13090.591796875
19041114,6.409205436706543,5.227901935577393,16.639965057373047,-11.830474853515625
19080304,8.548466682434082,6.502813339233398,29.559255599975586,-33.2974853515625
19100728,6.801270008087158,5.787944793701172,23.54695701599121,-64.60662078857422
19111201,7.468780040740967,5.576809406280518,36.46527862548828,-33.12812805175781
19121101,7.87264347076416,5.762936592102051,32.99847412109375,-16.004737854003906
19141003,4.863330364227295,3.5916905403137207,18.212688446044922,-353.81048583984375
19151205,11.907386779785156,9.947735786437988,34.97171401977539,-2.4387876987457275
19180123,12.963896751403809,11.425254821777344,42.88379669189453,-64.68305969238281
19180528,4.732204914093018,3.259058952331543,20.483219146728516,-1114591.125
19210209,6.173764705657959,4.883917808532715,23.607112884521484,-416.8839111328125
19220612,4.019466400146484,3.0349643230438232,18.77875518798828,-453.6167907714844
19230301,10.321015357971191,8.758212089538574,30.490076065063477,-4.494094371795654
19240731,3.7272684574127197,2.463606119155884,12.765406608581543,-1151.9239501953125
19241012,7.881598949432373,7.069870471954346,18.084684371948242,-49.96206283569336
19260826,5.203566551208496,4.350111484527588,15.598203659057617,-15.905635833740234
19270210,9.93359088897705,8.250455856323242,34.835601806640625,-5.0725531578063965
19270527,5.262989521026611,3.685025215148926,14.722749710083008,-870.8729858398438
19271105,8.303897857666016,6.933530807495117,24.006484985351562,-3.3366265296936035
19280804,5.107115268707275,3.871286153793335,13.064638137817383,-200.02330017089844
19300320,6.338159084320068,4.8714070320129395,26.4254207611084,-3.46364688873291
19300829,5.212235450744629,3.851006269454956,16.178958892822266,-886.6865234375
19310217,11.209871292114258,9.261628150939941,37.67207717895508,-29.143817901611328
19310430,5.732603073120117,4.185450077056885,19.057186126708984,-13.055917739868164
19321230,8.955541610717773,5.4597859382629395,43.46271514892578,-123767.015625
19341031,7.575535774230957,6.015411853790283,28.8000545501709,-2.4768567085266113
19361118,13.476491928100586,11.016449928283691,44.544898986816406,-8.527308464050293
19370816,5.072878360748291,3.695380449295044,19.668996810913086,-11972.3623046875
19420528,5.369265079498291,4.280550003051758,18.363842010498047,-1163.8634033203125
19420708,5.003437519073486,3.5779519081115723,19.11989402770996,-31.012401580810547
19420730,5.510066986083984,4.035813331604004,17.994213104248047,-1128.83251953125
19421130,8.740283966064453,6.287140369415283,32.25434494018555,-53.04093551635742
19430529,6.539280891418457,4.994279861450195,21.641130447387695,-7.689800262451172
19440815,6.569016933441162,5.546478271484375,21.958581924438477,-2.939220905303955
19460325,8.644124984741211,6.071457862854004,36.93459701538086,-5.951591968536377
19490718,4.687639236450195,3.2427561283111572,17.73956871032715,-2042.7947998046875
19490928,5.720916271209717,3.8630995750427246,23.34912872314453,-21.146684646606445
19491109,8.56563663482666,5.155550479888916,39.49394989013672,-51113.21484375
19500802,3.97967791557312,2.4905683994293213,16.128616333007812,-36633.6875
19510412,6.11959981918335,3.905510425567627,33.65886688232422,-90.36134338378906
19530527,5.135342121124268,3.902737617492676,16.382343292236328,-12.069161415100098
19560321,8.35230541229248,6.530991077423096,33.970664978027344,-30.022863388061523
